Retrieved by E4-util: 2012/01/16,13:56:13                            1 0  0    0
 4.009000+3 8.934761+0         -1          0          0          1 409 1451    1
 0.000000+0 0.000000+0          0          0          0          6 409 1451    2
 9.991673-1 1.130000+8          1          0      10010          7 409 1451    3
 0.000000+0 0.000000+0          0          0         10         17 409 1451    4
  4-Be-  9 LANL       EVAL-NOV88 P.G.Young, E.D.Arthur             409 1451    5
                      DIST-DEC06 REV1-                 20111222    409 1451    6
----ENDF/B-VII.1      MATERIAL  409         REVISION 1             409 1451    7
-----INCIDENT PROTON DATA                                          409 1451    8
------ENDF-6 FORMAT                                                409 1451    9
                                                                   409 1451   10
 REFERENCE: P. G. Young, E. D. Arthur, et al, "Transport Data      409 1451   11
 Libraries for Incident Proton and Neutron Energies to 100 Mev,"   409 1451   12
 Los Alamos National Laboratory report LA-11753-MS (July 1990).    409 1451   13
                                                                   409 1451   14
                                1        451         31          1 409 1451   15
                                3          2         14          1 409 1451   16
                                3          5         20          1 409 1451   17
                                3         50         13          1 409 1451   18
                                3         51         11          1 409 1451   19
                                3         52         10          1 409 1451   20
                                3         53         10          1 409 1451   21
                                3         54          8          1 409 1451   22
                                3         55          8          1 409 1451   23
                                6          2        435          1 409 1451   24
                                6          5       5164          1 409 1451   25
                                6         50         86          1 409 1451   26
                                6         51         83          1 409 1451   27
                                6         52         64          1 409 1451   28
                                6         53         83          1 409 1451   29
                                6         54         73          1 409 1451   30
                                6         55         52          1 409 1451   31
 0.000000+0 0.000000+0          0          0          0          0 409 1  099999
 0.000000+0 0.000000+0          0          0          0          0 409 0  0    0
 4.009000+3 8.934761+0          0          0          0          0 409 3  2    1
 0.000000+0 0.000000+0          0          0          1         33 409 3  2    2
         33          2                                             409 3  2    3
 5.000000+5-2.094646-2 1.000000+6-1.488789-1 2.000000+6-2.251236-1 409 3  2    4
 3.000000+6-1.412524-1 4.000000+6-9.049313-2 6.000000+6-2.281105-2 409 3  2    5
 8.000000+6 3.355411-2 1.000000+7 6.607708-2 1.200000+7 9.606224-2 409 3  2    6
 1.400000+7 1.233908-1 1.600000+7 1.399348-1 1.800000+7 1.479815-1 409 3  2    7
 2.000000+7 1.479160-1 2.250000+7 1.465297-1 2.500000+7 1.446940-1 409 3  2    8
 2.750000+7 1.421762-1 3.000000+7 1.386542-1 3.500000+7 1.290619-1 409 3  2    9
 4.000000+7 8.414950-2 4.500000+7 7.496806-2 5.000000+7 6.665182-2 409 3  2   10
 5.500000+7 5.927634-2 6.000000+7 5.279342-2 6.500000+7 4.712564-2 409 3  2   11
 7.000000+7 4.215810-2 7.500000+7 3.779902-2 8.000000+7 3.396577-2 409 3  2   12
 8.500000+7 3.058705-2 9.000000+7 2.759352-2 9.500000+7 2.494280-2 409 3  2   13
 1.000000+8 2.258570-2 1.060000+8 2.009170-2 1.130000+8 1.757401-2 409 3  2   14
 0.000000+0 0.000000+0          0          0          0          0 409 3  099999
